addon_key,addon_name,category,repo_count,best_repo_stars,freshness_max,opportunity_score,repos,description_source,description_confidence
instals,Instals,general_qol,2,18,3350,2.31,Lygre/addons; mverteuil/windower4-addons,https://github.com/Lygre/addons/blob/HEAD/instaLS/instaLS.lua,high
invspace,Invspace,economy_inventory,3,69,1490,1.86,Icydeath/ffxi-addons; Lygre/addons; mverteuil/windower4-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/README.md,medium
itemizer,Itemizer,economy_inventory,3,69,1490,1.86,Icydeath/ffxi-addons; Lygre/addons; mverteuil/windower4-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/itemizer/readme.md,medium
jingle,Jingle,general_qol,1,22,3,4.83,iLVL-Key/FFXI,https://github.com/iLVL-Key/FFXI/blob/HEAD/addons/Jingle/Jingle.lua,high
jobchange,Jobchange,general_qol,1,69,1490,3.43,Icydeath/ffxi-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/JobChange/jobchange.lua,high
jobinit,Jobinit,general_qol,1,35,51,4.83,lili-ffxi/FFXI-Addons,https://github.com/lili-ffxi/FFXI-Addons/blob/HEAD/README.md,medium
kaomoji,Kaomoji,general_qol,1,35,51,4.83,lili-ffxi/FFXI-Addons,https://github.com/lili-ffxi/FFXI-Addons/blob/HEAD/README.md,medium
latentchecker,Latentchecker,general_qol,2,18,3350,2.31,Lygre/addons; mverteuil/windower4-addons,https://github.com/Lygre/addons/blob/HEAD/latentchecker/latentchecker.lua,high
layouts,layouts,general_qol,1,47,58,4.0,Tylas11/XivParty,https://github.com/Tylas11/XivParty/blob/HEAD/README.md,medium
lazy,Lazy,general_qol,1,17,3528,3.43,mverteuil/windower4-addons,heuristic,low
leaderboard,Leaderboard,general_qol,1,22,3,4.83,iLVL-Key/FFXI,https://github.com/iLVL-Key/FFXI/blob/HEAD/addons/Leaderboard/Leaderboard.lua,high
libs,libs,general_qol,5,69,46,4.0,AliekberFFXI/xivcrossbar; Icydeath/ffxi-addons; Lygre/addons; mousseng/xitools; mverteuil/windower4-addons,https://github.com/AliekberFFXI/xivcrossbar/blob/HEAD/libs/xml2.lua,high
linker,Linker,general_qol,2,18,3350,2.31,Lygre/addons; mverteuil/windower4-addons,https://github.com/Lygre/addons/blob/HEAD/linker/readme.md,medium
llmchat,Llmchat,general_qol,1,22,3,4.83,iLVL-Key/FFXI,https://github.com/iLVL-Key/FFXI/blob/HEAD/addons/LLMChat/LLMChat.lua,high
locke,Locke,general_qol,1,69,1490,3.43,Icydeath/ffxi-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/Locke/Locke.lua,high
lockpick,Lockpick,general_qol,1,69,1490,3.43,Icydeath/ffxi-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/lockpick/lockpick.lua,high
logger,Logger,diagnostics,3,69,1490,1.86,Icydeath/ffxi-addons; Lygre/addons; mverteuil/windower4-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/README.md,medium
loggers,Loggers,diagnostics,1,29,46,4.83,mousseng/xitools,https://github.com/mousseng/xitools/blob/HEAD/addons/loggers/loggers.lua,high
lootscope,Lootscope,economy_inventory,1,2,26,4.83,SQLCommit/LootScope,https://github.com/SQLCommit/LootScope/blob/HEAD/README.md,medium
lottery,Lottery,general_qol,2,69,1490,2.31,Icydeath/ffxi-addons; Lygre/addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/README.md,medium
luaparser,Luaparser,general_qol,1,0,1,4.2,Gol-exe/closetCleaner2,https://github.com/Gol-exe/closetCleaner2/blob/HEAD/README.md,medium
macrochanger,Macrochanger,general_qol,2,69,1490,2.31,Icydeath/ffxi-addons; mverteuil/windower4-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/macrochanger/macrochanger.lua,high
maga,Maga,general_qol,1,69,1490,3.43,Icydeath/ffxi-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/maga/extdata.lua,high
magianws,magianws,combat_automation,1,0,39,4.0,rouzazari/magianws,https://github.com/rouzazari/magianws/blob/HEAD/README.md,medium
magicassistant,Magicassistant,automation,2,69,1177,2.66,Icydeath/ffxi-addons; ValokAsura/WindowerAddons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/MagicAssistant/magicassistant.lua,high
map,map,general_qol,1,55,38,4.0,AkadenTK/superwarp,https://github.com/AkadenTK/superwarp/blob/HEAD/map/abyssea.lua,high
